minute,queue_length,customers_served,vip_served,regular_served,avg_wait_time
1,0,0,0,0,0
2,0,1,0,1,0
3,0,1,0,1,0
4,0,2,0,2,0
5,0,2,0,2,0
6,0,2,0,2,0
7,0,3,0,3,0
8,1,3,0,3,0
9,1,3,0,3,0
10,0,4,0,4,0.5
11,0,5,0,5,0.4
12,0,6,1,5,0.333333
13,0,6,1,5,0.333333
14,0,6,1,5,0.333333
15,0,6,1,5,0.333333
16,0,6,1,5,0.333333
17,0,7,1,6,0.285714
18,0,8,1,7,0.25
19,0,8,1,7,0.25
20,0,8,1,7,0.25
21,0,8,1,7,0.25
22,0,9,1,8,0.222222
23,0,10,1,9,0.2
24,0,11,1,10,0.181818
25,0,12,1,11,0.166667
26,0,13,1,12,0.153846
27,0,13,1,12,0.153846
28,0,13,1,12,0.153846
29,0,14,1,13,0.142857
30,0,15,1,14,0.133333
31,0,15,1,14,0.133333
32,0,15,1,14,0.133333
33,0,15,1,14,0.133333
34,0,15,1,14,0.133333
35,0,15,1,14,0.133333
36,0,16,1,15,0.125
37,0,17,1,16,0.117647
38,0,17,1,16,0.117647
39,0,18,1,17,0.111111
40,0,18,1,17,0.111111
41,0,19,2,17,0.105263
42,0,19,2,17,0.105263
43,0,19,2,17,0.105263
44,0,19,2,17,0.105263
45,0,19,2,17,0.105263
46,0,19,2,17,0.105263
47,0,19,2,17,0.105263
48,0,20,2,18,0.1
49,0,21,2,19,0.0952381
50,0,22,2,20,0.0909091
51,1,22,2,20,0.0909091
52,1,23,2,21,0.130435
53,1,23,2,21,0.130435
54,0,24,2,22,0.208333
55,0,25,2,23,0.2
56,0,25,2,23,0.2
57,0,26,2,24,0.192308
58,0,26,2,24,0.192308
59,0,27,2,25,0.185185
60,0,27,2,25,0.185185
